HomeTeam,AwayTeam,FTHG,FTAG,FTR
Como,Sassuolo,2,0,H
Genoa,Verona,2,1,H
Parma,Udinese,0,2,A
Juventus,Cagliari,2,1,H
Milan,Lazio,1,0,H
Lecce,Torino,2,1,H
Pisa,Inter,0,2,A
Atalanta,Fiorentina,2,0,H
Roma,Napoli,0,1,A
Bologna,Cremonese,1,3,A
Sassuolo,Fiorentina,3,1,H
Inter,Como,4,0,H
Verona,Atalanta,3,1,H
Cremonese,Lecce,2,0,H
Cagliari,Roma,1,0,H
Lazio,Bologna,1,1,D
Napoli,Juventus,2,1,H
Pisa,Parma,0,1,A
Udinese,Genoa,1,2,A
Torino,Milan,2,3,A
Lecce,Pisa,1,0,H
Torino,Cremonese,1,0,H
Parma,Lazio,0,1,A
Atalanta,Cagliari,2,1,H
Milan,Sassuolo,2,2,D
Fiorentina,Verona,1,2,A
Udinese,Napoli,1,0,H
Genoa,Inter,1,2,A
Bologna,Juventus,0,1,A
Roma,Como,1,0,H
Lazio,Cremonese,0,0,D
Juventus,Roma,2,1,H
Cagliari,Pisa,2,2,D
Sassuolo,Torino,0,1,A
Fiorentina,Udinese,5,1,H
Genoa,Atalanta,0,1,A
Parma,Fiorentina,1,0,H
Lecce,Como,0,3,A
Torino,Cagliari,1,2,A
Udinese,Lazio,1,1,D
Pisa,Juventus,0,2,A
Milan,Verona,3,0,H
Cremonese,Napoli,0,2,A
Bologna,Sassuolo,1,1,D
Atalanta,Inter,0,1,A
Roma,Genoa,3,1,H
Cagliari,Milan,0,1,A
Como,Udinese,1,0,H
Genoa,Pisa,1,1,D
Sassuolo,Parma,1,1,D
Juventus,Lecce,1,1,D
Atalanta,Roma,1,0,H
Lazio,Napoli,0,2,A
Fiorentina,Cremonese,1,0,H
Verona,Torino,0,3,A
Inter,Bologna,3,1,H
Pisa,Como,0,3,A
Lecce,Roma,0,2,A
Sassuolo,Juventus,0,3,A
Bologna,Atalanta,0,2,A
Napoli,Verona,2,2,D
Lazio,Fiorentina,2,2,D
Parma,Inter,0,2,A
Torino,Udinese,1,2,A
Cremonese,Cagliari,2,2,D
Milan,Genoa,1,1,D
Como,Bologna,1,1,D
Udinese,Pisa,2,2,D
Roma,Sassuolo,2,0,H
Atalanta,Torino,2,0,H
Lecce,Parma,1,2,A
Fiorentina,Milan,1,1,D
Verona,Lazio,0,1,A
Inter,Napoli,2,2,D
Genoa,Cagliari,3,0,H
Juventus,Cremonese,5,0,H
Napoli,Parma,0,0,D
Inter,Lecce,1,0,H
Verona,Bologna,2,3,A
Como,Milan,1,3,A
Pisa,Atalanta,1,1,D
Udinese,Inter,0,1,A
Napoli,Sassuolo,1,0,H
Cagliari,Juventus,1,0,H
Parma,Genoa,0,0,D
Bologna,Fiorentina,1,2,A
Torino,Roma,0,2,A
Milan,Lecce,1,0,H
Cremonese,Verona,0,0,D
Lazio,Como,0,3,A
Inter,Pisa,6,2,H
Como,Torino,6,0,H
Fiorentina,Cagliari,1,2,A
Lecce,Lazio,0,0,D
Sassuolo,Cremonese,1,0,H
Atalanta,Parma,4,0,H
Genoa,Bologna,3,2,H
Juventus,Napoli,3,0,H
Roma,Milan,1,1,D
Verona,Udinese,1,3,A
Lazio,Genoa,3,2,H
Pisa,Sassuolo,1,3,A
Napoli,Fiorentina,2,1,H
Cagliari,Verona,4,0,H
Torino,Lecce,1,0,H
Como,Atalanta,0,0,D
Cremonese,Inter,0,2,A
Parma,Juventus,1,4,A
Udinese,Roma,1,0,H
Bologna,Milan,0,3,A
Verona,Pisa,0,0,D
Genoa,Napoli,2,3,A
Fiorentina,Torino,2,2,D
Bologna,Parma,0,1,A
Lecce,Udinese,2,1,H
Sassuolo,Inter,0,5,A
Juventus,Lazio,2,2,D
Atalanta,Cremonese,2,1,H
Roma,Cagliari,2,0,H
Pisa,Milan,1,2,A
Como,Fiorentina,1,2,A
Lazio,Atalanta,0,2,A
Inter,Juventus,3,2,H
